Variable,Lead_Time,Error_Type,Min,Max,Mean,Median,IQR,RMSE
Temperature_C,38,Absolute,0.0,16.986694,1.6441654794951193,1.2940979999999982,1.7059937599999992,2.1784569163074905
Temperature_C,39,Absolute,0.0,16.31128,1.666859097601121,1.2983400000000032,1.752136600000001,2.2145409221551846
Temperature_C,40,Absolute,0.0,15.875091999999999,1.6964972237149483,1.3338622,1.775970499999998,2.2429053226267346
Temperature_C,41,Absolute,0.0,14.923612999999996,1.6763193830996936,1.3168640000000025,1.729613399999999,2.211742969749623
Temperature_C,42,Absolute,0.0,14.15374783,1.6018185130658065,1.2729492,1.6427609999999984,2.09046707249003
Temperature_C,43,Absolute,0.0,14.362793,1.5213048772084774,1.2158812000000006,1.5695500000000013,1.983224580684365
Temperature_C,44,Absolute,0.0,15.8150941,1.4863611163535766,1.1853941000000003,1.5433041999999997,1.932498942519037
Temperature_C,45,Absolute,0.00012199999999928934,15.8002925,1.4750446938003114,1.1798400000000004,1.5413823000000022,1.9121201252009647
Temperature_C,46,Absolute,0.0,17.102935600000002,1.4720561491321733,1.1786190000000012,1.5315860000000008,1.9059641109826027
Temperature_C,47,Absolute,0.00006099999999875649,19.248962,1.4687309528717043,1.174071999999999,1.5412905400000008,1.9027241749203585
Temperature_C,48,Absolute,0.0000610999999999251,18.0535892,1.4766318479558826,1.1841430000000024,1.5513010000000023,1.9094957468203677
Temperature_C,1,Relative,-0.013870297770104612,0.011332990090622275,0.00034156505326035744,0.0002959214180723549,0.0014993015007993067,
Temperature_C,2,Relative,-0.02157014583026731,0.02141223947973411,0.0005165787687017273,0.00044444261046008306,0.0023495455260311706,
Temperature_C,3,Relative,-0.02964111788241685,0.020808601514745343,0.0006353501174505908,0.0005822883438541202,0.0029323677119877517,
Temperature_C,4,Relative,-0.031614161137474554,0.03128217139096007,0.0007109114407978272,0.0006902471491814489,0.0035913642383745897,
Temperature_C,5,Relative,-0.03222306767196866,0.025574226388268676,0.0004330285796791086,0.0003982648366538269,0.003828968670217787,
Temperature_C,6,Relative,-0.027268326253131074,0.027165780411401084,0.0002647004222012586,0.00023087129368071156,0.004050631654842276,
